FECHA - HORA UTC,LATITUD (°),LONGITUD (°),PROF. (Km),MAGNITUD,TIPO MAGNITUD,FASES,RMS (Seg),GAP (°),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),REGION,ESTADO
2021-09-04 09:30:31,"6,585","-73,472","108,09","1,8",MLr_vmm,19,"1,1",56,"3,859","4,623","7,57","El Carmen - Santander, Colombia",manual
2021-09-04 10:05:22,"6,781","-73,182","155,04","1,7",MLr_3,8,"0,2",274,"2,404","2,404","2,8","Los Santos - Santander, Colombia",manual
2021-09-04 10:15:37,"6,809","-73,184","133,52","1,8",MLr_3,9,"0,7",97,"6,977","6,19","11,23","Los Santos - Santander, Colombia",manual
2021-09-04 11:10:51,"6,787","-73,248","134,45",2,MLr_3,17,"1,4",117,"5,422","5,994","9,42","Zapatoca - Santander, Colombia",manual
2021-09-04 11:42:11,"6,772","-73,235","131,99","2,2",MLr_3,21,"1,1",61,"4,653","4,815","7,47","Zapatoca - Santander, Colombia",manual
2021-09-04 13:19:59,"6,804","-73,174","142,01","2,4",MLr_3,38,"0,5",69,"0,919","0,919","1,8","Los Santos - Santander, Colombia",manual
2021-09-04 13:56:57,"6,701","-73,147","127,81","1,7",MLr,27,3,74,"8,061","8,061","14,9","Villanueva - Santander, Colombia",manual
2021-09-04 14:30:38,"6,801","-73,218","148,38","1,8",MLr_3,14,"0,8",127,"3,677","3,677","5,4","Zapatoca - Santander, Colombia",manual
2021-09-04 17:13:24,"6,392","-73,492","116,02","2,3",MLr_vmm,38,"0,8",47,"1,414","1,414","2,9","Santa Helena del Opón - Santander, Colombia",manual
2021-09-04 17:42:16,"6,798","-73,218","141,09","1,6",M_MLr,7,"0,1",185,"1,98","1,98","1,6","Zapatoca - Santander, Colombia",manual
2021-09-04 19:34:16,"6,862","-73,161","142,29","2,1",MLr_3,26,"0,6",68,"1,414","1,414","2,8","Los Santos - Santander, Colombia",manual
2021-09-04 20:22:07,"6,771","-73,154",152,"1,9",MLr_3,14,"0,6",137,"3,394","3,394","4,8","Los Santos - Santander, Colombia",manual
2021-09-04 20:59:31,"6,827","-73,124","145,27","1,8",MLr_3,12,"0,5",138,"2,97","2,97","4,2","Los Santos - Santander, Colombia",manual
2021-09-04 21:03:06,"6,774","-73,043",138,"1,8",MLr_3,13,"0,7",151,"4,101","4,101","5,6","Los Santos - Santander, Colombia",manual
2021-09-04 21:35:31,"6,768","-73,08","154,26",2,MLr_3,20,"0,9",76,"2,899","2,899","5,4","Los Santos - Santander, Colombia",manual
2021-09-04 22:49:16,"6,822","-73,349","117,66","1,7",MLr_vmm,12,"0,6",92,"3,465","3,465","5,2","Zapatoca - Santander, Colombia",manual
2021-09-04 23:34:04,"6,795","-73,179","145,35","1,8",MLr_3,15,"0,2",133,"1,626","1,626","1,8","Los Santos - Santander, Colombia",manual
2021-09-05 00:45:53,"6,798","-73,087","144,97","1,7",MLr_3,10,"0,6",189,"3,96","3,96","7,2","Los Santos - Santander, Colombia",manual
2021-09-05 00:52:35,"6,767","-73,215","140,2","2,3",MLr_3,25,1,66,"3,983","4,787","6,99","Zapatoca - Santander, Colombia",manual
2021-09-05 01:18:20,"6,809","-73,214","131,17","1,4",MLr_3,7,"1,4",128,"7,759","10,796","12,46","Zapatoca - Santander, Colombia",manual
2021-09-05 02:07:11,"6,771","-73,184","139,14","2,1",MLr_3,21,"1,2",70,"4,883","5,856","7,49","Los Santos - Santander, Colombia",manual
2021-09-05 02:22:25,"6,994","-73,398","113,78","2,1",MLr_vmm,36,"0,7",56,"1,273","1,273","3,1","Betulia - Santander, Colombia",manual
2021-09-05 02:34:14,"6,779","-73,184","141,02","1,7",MLr_3,15,1,133,"5,477","6,608","8,74","Los Santos - Santander, Colombia",manual
2021-09-05 02:48:04,"6,758","-73,231","138,67","1,9",MLr_3,13,"1,2",69,"6,097","7,5","9,48","Zapatoca - Santander, Colombia",manual
2021-09-05 03:11:16,"6,792","-73,236","137,73","1,6",MLr_3,8,1,121,"5,892","9,131","11,22","Zapatoca - Santander, Colombia",manual
2021-09-05 03:16:08,"6,8","-72,948","146,9","1,7",MLr_3,5,"0,9",164,"2,333","2,333","1,3","Cepitá - Santander, Colombia",manual
2021-09-05 04:40:22,"6,745","-73,223","129,77","1,8",MLr_3,14,"0,8",124,"4,963","5,665","8,08","Zapatoca - Santander, Colombia",manual
2021-09-05 06:43:29,"6,793","-73,286",142,"1,3",MLr_vmm,8,"0,6",106,"4,738","4,738","6,8","Zapatoca - Santander, Colombia",manual
2021-09-05 06:51:33,"6,737","-73,176","127,89","1,6",MLr_3,6,"0,4",136,"8,4","9,785","10,17","Villanueva - Santander, Colombia",manual
2021-09-05 07:00:14,"6,768","-73,157","148,04","1,6",MLr_3,9,"0,3",139,"2,121","2,121","3,1","Los Santos - Santander, Colombia",manual
2021-09-05 08:42:23,"6,766","-73,133","135,39","1,9",MLr_3,16,1,73,"5,584","5,068","7,59","Los Santos - Santander, Colombia",manual
2021-09-05 08:55:59,"6,754","-73,15","133,05","1,8",MLr_3,12,"1,9",86,"5,871","5,496","9,83","Los Santos - Santander, Colombia",manual
2021-09-05 10:33:16,"6,914","-73,336","109,05","1,4",MLr_vmm,16,"1,4",125,"5,586","5,586",10,"Zapatoca - Santander, Colombia",manual
2021-09-05 10:37:07,"6,696","-73,469","115,07",1,MLr_vmm,10,"0,6",149,"3,748","3,748","6,4","El Carmen - Santander, Colombia",manual
2021-09-05 10:44:20,"7,162","-73,372","122,81","1,2",MLr_vmm,8,"0,1",195,"0,919","0,919","1,4","Lebrija - Santander, Colombia",manual
2021-09-05 11:34:36,"6,847","-73,483","118,85","1,6",MLr_vmm,10,"1,1",165,"6,152","6,152","11,2","San Vicente de Chucurí - Santander, Colombia",manual
2021-09-05 11:47:07,"6,553","-73,596","96,2","1,2",MLr_vmm,8,"0,8",140,"5,02","5,02","10,5","El Carmen - Santander, Colombia",manual
2021-09-05 11:56:46,"5,835","-73,671","110,55","1,4",MLr_3,7,"0,7",156,"9,119","6,129","10,61","Puente Nacional - Santander, Colombia",manual
2021-09-05 13:37:39,"6,796","-73,193","133,05","1,9",MLr_3,8,"0,8",131,"6,236","7,07","11,52","Los Santos - Santander, Colombia",manual
2021-09-05 14:59:31,"6,434","-73,677","101,66","1,4",MLr_vmm,15,"0,7",94,"3,323","3,323","5,7","Vélez - Santander, Colombia",manual
2021-09-05 15:23:37,"6,796","-73,135","152,07","1,8",MLr_3,13,"0,4",138,"2,263","2,263","3,2","Los Santos - Santander, Colombia",manual
2021-09-05 15:31:06,"6,825","-73,162","142,11","1,6",MLr_3,9,"0,4",133,"3,889","3,889","4,8","Los Santos - Santander, Colombia",manual
2021-09-05 16:21:26,"6,844","-73,212",148,"1,9",MLr_3,16,"0,5",126,"2,051","2,051","3,1","Zapatoca - Santander, Colombia",manual
2021-09-05 17:52:43,"6,84","-73,164","145,72","2,3",MLr_3,35,"0,5",69,"1,131","1,131","2,3","Los Santos - Santander, Colombia",manual
2021-09-05 18:04:09,"6,775","-73,193","137,27",2,MLr_2,13,"0,9",69,"5,455","6,831","8,96","Los Santos - Santander, Colombia",manual
2021-09-05 18:17:03,"6,906","-73,418","145,5","1,4",MLr_vmm,8,"0,6",168,"4,667","4,667","7,4","San Vicente de Chucurí - Santander, Colombia",manual
2021-09-05 18:50:18,"6,844","-73,298",135,"1,7",MLr_vmm,15,"0,8",88,"2,899","2,899","5,7","Zapatoca - Santander, Colombia",manual
2021-09-05 18:54:15,"6,835","-73,17","145,72","2,5",MLr_3,44,"0,6",69,"1,061","1,061",2,"Los Santos - Santander, Colombia",manual
2021-09-05 19:32:49,"6,846","-73,164","145,61","2,7",MLr_3,50,"0,6",68,"1,061","1,061","2,3","Los Santos - Santander, Colombia",manual
2021-09-05 20:05:04,"6,841","-73,207","145,63","1,6",MLr_3,7,"0,3",127,"2,263","2,263","4,2","Zapatoca - Santander, Colombia",manual
2021-09-05 20:06:35,"6,827","-73,199","140,6","1,6",MLr_3,7,"0,2",147,"2,97","2,97",3,"Zapatoca - Santander, Colombia",manual
2021-09-05 20:35:31,"6,792","-73,224","149,35","1,5",MLr_3,7,"0,1",145,"0,707","0,707","0,9","Zapatoca - Santander, Colombia",manual
2021-09-05 21:41:21,"6,825","-73,152","144,17","2,2",MLr_3,34,"0,6",70,"1,273","1,273","2,6","Los Santos - Santander, Colombia",manual
2021-09-05 23:15:10,"6,319","-73,546","120,95","1,5",MLr_vmm,21,"0,7",112,"2,333","2,333","3,7","Santa Helena del Opón - Santander, Colombia",manual
2021-09-06 00:09:07,"6,533","-73,45","116,64","1,5",MLr_vmm,11,1,73,"6,521","6,487","9,74","El Carmen - Santander, Colombia",manual
2021-09-06 00:19:59,"6,906","-73,682","88,35","1,3",MLr_vmm,15,"0,7",126,"2,051","2,051","5,6","Barrancabermeja - Santander, Colombia",manual
2021-09-06 00:33:28,"6,829","-73,194","143,55","1,5",MLr_3,8,"0,5",147,"3,818","3,818","5,6","Zapatoca - Santander, Colombia",manual
2021-09-06 01:22:41,"6,547","-73,232","29,8","1,3",MLr_3,7,"1,1",119,"3,683","5,657","5,95","Cabrera - Santander, Colombia",manual
2021-09-06 01:35:18,"6,762","-73,21","133,98","1,5",MLr_3,7,"0,8",130,"6,994","8,703","10,49","Villanueva - Santander, Colombia",manual
2021-09-06 02:04:38,"6,783","-73,248","136,8","1,9",MLr_3,15,1,117,"5,074","6,316","8,47","Zapatoca - Santander, Colombia",manual
2021-09-06 02:35:01,"6,682","-73,176","123,2","1,7",MLr_3,12,1,138,"6,381","7,547","9,04","Villanueva - Santander, Colombia",manual
2021-09-06 03:55:34,"6,762","-73,214","134,45","1,7",MLr_3,9,"0,9",128,"5,972","9,407","11,26","Zapatoca - Santander, Colombia",manual
2021-09-06 04:02:22,"6,353","-73,663","97,52","1,4",MLr_vmm,22,1,65,"2,475","2,475","6,4","Santa Helena del Opón - Santander, Colombia",manual
2021-09-06 04:48:20,"6,81","-73,17","138,14","1,5",MLr_3,10,"0,7",133,"3,606","3,606","7,6","Los Santos - Santander, Colombia",manual
2021-09-06 04:53:17,"6,778","-73,235","140,2","2,7",MLr_3,32,"1,2",61,"3,199","4,182","6,33","Zapatoca - Santander, Colombia",manual
2021-09-06 05:31:51,"6,79","-73,541","102,97","1,3",MLr_vmm,14,"0,9",71,"3,182","3,182","8,3","El Carmen - Santander, Colombia",manual
2021-09-06 06:53:18,"6,661","-72,793","43,49","1,8",MLr_3,10,"0,3",98,"1,485","1,485","4,1","Molagavita - Santander, Colombia",manual
2021-09-06 06:53:21,"6,83","-73,236","131,64","2,1",MLr_3,22,"1,3",121,"3,956","5,735","7,57","Zapatoca - Santander, Colombia",manual
2021-09-06 07:03:42,"7,465","-73,112","135,86","1,6",MLr_3,10,"1,2",122,"7,731","8,267","11,77","El Playón - Santander, Colombia",manual
2021-09-06 07:26:59,"6,811","-73,169","119,69","1,4",MLr_3,6,"0,6",133,"6,254","7,332","11,5","Los Santos - Santander, Colombia",manual
2021-09-06 07:56:55,"6,522","-73,464","118,06","1,6",MLr_vmm,26,"0,6",73,"1,838","1,838","3,4","Simacota - Santander, Colombia",manual
2021-09-06 08:53:28,"6,803","-73,205","136,91","2,5",MLr_3,30,"1,2",68,"3,318","4,473","6,44","Zapatoca - Santander, Colombia",manual
2021-09-06 09:15:59,"6,766","-73,184","134,45","1,8",MLr_3,12,1,133,"4,9","7,086","8,82","Los Santos - Santander, Colombia",manual
2021-09-06 09:34:40,"6,774","-73,166","135,51","2,2",MLr_3,22,1,71,"4,291","4,5","7,11","Los Santos - Santander, Colombia",manual
2021-09-06 10:57:48,"6,759","-73,272","147,7","1,5",MLr_3,7,"0,5",145,"5,02","5,02","7,2","Zapatoca - Santander, Colombia",manual
2021-09-06 11:06:55,"6,751","-73,109","131,88","1,6",MLr_3,6,"0,5",144,"9,199","8,985","12,03","Los Santos - Santander, Colombia",manual
2021-09-06 11:09:03,"6,737","-73,077","12,11","2,5",MLr_3,24,"1,2",77,"2,417","3,138","3,4","Los Santos - Santander, Colombia",manual
2021-09-06 12:06:32,"5,996","-73,282","151,33","1,8",MLr_3,9,"0,5",94,"6,404","7,556","10,08","Gámbita - Santander, Colombia",manual
